iter	Passed	Remaining
0	152	152646
1	157	78721
2	162	54053
3	168	41946
4	173	34443
5	176	29164
6	178	25329
7	181	22450
8	183	20181
9	184	18311
10	186	16766
11	188	15499
12	189	14408
13	191	13462
14	192	12634
15	193	11915
16	195	11291
17	196	10727
18	197	10212
19	198	9747
20	200	9330
21	201	8944
22	202	8590
23	203	8261
24	204	7956
25	205	7681
26	206	7424
27	206	7182
28	207	6961
29	209	6759
30	210	6570
31	211	6384
32	211	6210
33	212	6050
34	213	5898
35	214	5751
36	215	5614
37	216	5485
38	217	5360
39	218	5243
40	219	5130
41	220	5024
42	221	4921
43	222	4826
44	223	4738
45	224	4656
46	225	4571
47	226	4489
48	227	4411
49	228	4335
50	229	4263
51	230	4193
52	230	4126
53	231	4061
54	232	4000
55	233	3940
56	234	3882
57	235	3827
58	236	3776
59	237	3728
60	239	3682
61	240	3633
62	241	3586
63	242	3539
64	242	3493
65	243	3449
66	244	3406
67	245	3366
68	246	3325
69	247	3285
70	248	3247
71	249	3211
72	250	3176
73	251	3141
74	252	3111
75	253	3081
76	254	3048
77	255	3016
78	256	2986
79	257	2956
80	257	2926
81	258	2899
82	259	2866
83	260	2838
84	261	2812
85	262	2787
86	263	2762
87	264	2738
88	265	2713
89	266	2691
90	267	2670
91	268	2648
92	269	2626
93	270	2604
94	271	2582
95	272	2561
96	273	2541
97	273	2521
98	274	2501
99	275	2481
100	276	2462
101	277	2443
102	278	2425
103	279	2407
104	280	2391
105	281	2375
106	282	2361
107	283	2344
108	284	2328
109	285	2311
110	286	2295
111	287	2279
112	288	2264
113	289	2249
114	290	2234
115	291	2219
116	291	2203
117	292	2189
118	293	2175
119	294	2162
120	295	2149
121	296	2136
122	297	2123
123	298	2110
124	299	2097
125	300	2084
126	301	2071
127	302	2059
128	303	2047
129	304	2034
130	304	2022
131	305	2011
132	306	1999
133	307	1988
134	308	1977
135	309	1966
136	310	1956
137	311	1946
138	312	1936
139	313	1926
140	314	1916
141	315	1905
142	316	1895
143	317	1885
144	318	1875
145	318	1865
146	319	1855
147	320	1845
148	321	1836
149	322	1827
150	323	1817
151	324	1808
152	325	1800
153	326	1792
154	327	1784
155	328	1776
156	329	1768
